frame_name		left	top	right	bottom
red_bat_1		0	0	24	32
red_bat_2		24	0	56	32
red_bat_3		56	0	88	32
red_bat_4		88	0	120	32
blue_bat_1		0	32	24	64	
blue_bat_2		24	32	56	64
blue_bat_3		56	32	88	64	
blue_bat_4		88	32	120	64
monkey_walk_1		120	0	152	64
monkey_walk_2		152	0	184	64
cat_1			184	0	232	32
cat_2			232	0	288	32
cat_3			288	0	348	32
cat_4			348	0	412	32
frog_1			184	32	212	60
frog_2			212	32	240	60
crow_1			240	32	272	64
crow_2			272	32	302	64
crow_3			302	32	334	64
crow_4			334	32	364	64
fishman_1		412	0	444	64
fishman_2		444	0	472	64
fisnman_3		472	0	504	64
big_soldier_1		504	0	548	64
big_soldier_2		548	0	592	64
soldier_1		592	0	624	64
soldier_2		624	0	656	64
soldier_3		656	0	688	64
soldier_4		688	0	720	64
bird_1			720	0	752	32
bird_2			752	0	784	32
bone_1			784	0	814	26
bone_2			814	0	826	32
skeleton_1		826	0	858	64
skeleton_2		858	0	890	64
skeleton_3		890	0	922	64
skeleton_4		922	0	952	64
dinosaur_0		952	0	984	64
dinosaur_1		984	0	1016	34
dinosaur_2		1016	0	1048	30
dinosaur_3		1048	0	1064	32
fireball		984	34	998	46	
monkey_1		1064	0	1094	32
monkey_2		1094	0	1126	32
