frame_name	left	top	right	bottom
small_heart	0	0	16	16
big_heart	16	0	40	20
red_money	40	0	70	30
yellow_money	70	0	100	30
blue_money	100	0	130	30
whip_upgrade	130	0	162	32
dagger		162	0	194	18
stopwatch	194	0	224	32
cross		224	0	256	32
axe		256	0	286	28
boomerang	0	32	30	60
holy_water	30	32	62	64
pot_roast	62	32	94	58
smallblue_II	94	32	122	60
bigblue_II	122	32	164	74
smallred_II	164	32	192	60
bigred_II	192	32	234	74
ball_1		234	32	267	60
ball_2		267	32	295	64
potion		286	0	312	32
box_yellow	312	0	344	24
box_red		344	0	376	24
crown_yellow	286	32	316	64
crown_red	316	32	346	64
