frame_name	left	top	right	bottom
big_candle_1	0	0	32	64
big_candle_2	32	0	64	64
candle_1	64	0	80	32
candle_2	80	0	96	32
moving_stair	96	0	160	14
black_door	160	0	180	50
down_arrow	180	0	212	32
up_arrow	180	32	212	64
line		212	0	272	10
right_arrow	272	0	288	32
door_1		0	64	16	160
start_open_1	16	64	48	160
open_1		48	64	128	160
door_2		128	64	144	160
start_open_2	144	64	176	160
open_2		176	64	256	160
trident_1	0	160	64	292	
trident_2	64	160	128	292
trident_3	128	160	192	292
trident_4	192	160	256	292
trident_5	256	160	320	292
trident_6	320	160	384	292
trident_7	384	160	448	292
