frame_name		left	top	right	bottom
back			0	0	32	64			
death			32	0	96	64    		
down_and_hit_01		96	0	144	64		
down_and_hit_02		144	0	176	64		
down_and_hit_03		176	0	216	64		
up_and_hit_01		216	0	258	64		
up_and_hit_02		258	0	289	64		
up_and_hit_03		290	0	334	64		
down		334	0	364	64		
up		364	0	392	64		
be_hit		395	0	425	64		
sit_down		429	0	459	48		
jump		429	0	459	48		
stand_and_hit_01	460	0	507	64		
stand_and_hit_02	510	0	541	64		
stand_and_hit_03	542	0	584	64		
walk_right_01		585	0	615	64		
walk_right_02		618	0	640	64		
walk_right_03		643	0	673	64		
state_01		673	0	703	64		
state_02		705	0	735	64		
state_03		737	0	767	64		
state_04		769	0	799	64	
jump_and_hit_01			240	64	288	109
jump_and_hit_02			288	64	320	109
jump_and_hit_03			320	64	364	109
